com.samsung.health.floors_climbed,6293007,6
start_time,custom,update_time,create_time,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:18:20.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:18:20.000,30303465-655f-3030-3535-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:25:51.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:25:51.000,31656165-655f-3135-3935-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:29:51.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:29:51.000,37386565-655f-3139-3136-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:30:25.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:30:25.000,64306665-655f-3532-3236-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:31:47.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:31:47.000,62343066-655f-3730-3336-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:32:05.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:32:05.000,31393066-655f-3532-3336-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:34:51.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:34:51.000,37313366-655f-3139-3436-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:48:37.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:48:37.000,64616666-655f-3731-3337-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:49:13.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:49:13.000,36333030-665f-3335-3337-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:51:23.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:51:23.000,33333230-665f-3338-3437-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:52:24.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:52:24.000,30323330-665f-3434-3537-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:58:27.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:58:27.000,39613830-665f-3730-3937-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 17:03:48.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 17:03:48.000,65386430-665f-3832-3238-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 17:09:41.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 17:09:41.000,66653231-665f-3138-3538-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 17:55:13.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 17:55:13.000,31396333-665f-3331-3331-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 17:59:16.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 17:59:16.000,33343034-665f-3635-3531-303939333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 17:59:21.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 17:59:21.000,35353034-665f-3136-3531-303939333731,
