com.samsung.shealth.step_daily_trend,6292001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
d4b58805-9fe5-4800-b8dc-8899a339d6f8.binning_data.json,2025-02-02 23:00:01.023,2025-02-02 23:00:01.023,com.sec.android.app.shealth,25,2403,1.2870014,1823.252,88.444214,MhLCbMNGdz,com.sec.android.app.shealth,d4b58805-9fe5-4800-b8dc-8899a339d6f8,1738454400000,
011f29e3-eb28-4061-9a77-379e20cf9d69.binning_data.json,2025-02-03 23:00:01.953,2025-02-03 09:03:15.170,com.sec.android.app.shealth,-2,1515,1.2958947,1138.24,55.56,VfS0qUERdZ,com.sec.android.app.shealth,011f29e3-eb28-4061-9a77-379e20cf9d69,1738540800000,
1594c1da-b0d5-4ff3-9972-e43c8078817d.binning_data.json,2025-02-03 23:00:01.659,2025-02-03 23:00:01.659,com.sec.android.app.shealth,0,1515,1.2958947,1138.24,55.56,R0X8Tl1DGH,com.sec.android.app.shealth,1594c1da-b0d5-4ff3-9972-e43c8078817d,1738540800000,
cc8a019c-144d-4a60-b687-6dfbf8b4fd25.binning_data.json,2025-02-04 23:00:00.854,2025-02-04 07:39:56.514,com.sec.android.app.shealth,-2,5004,1.2946182,3756.41,182.4,VfS0qUERdZ,com.sec.android.app.shealth,cc8a019c-144d-4a60-b687-6dfbf8b4fd25,1738627200000,
bc39ae20-4af7-40c8-b456-927ee55d2e38.binning_data.json,2025-02-04 23:00:00.608,2025-02-04 23:00:00.608,com.sec.android.app.shealth,0,5004,1.2946182,3756.41,182.4,R0X8Tl1DGH,com.sec.android.app.shealth,bc39ae20-4af7-40c8-b456-927ee55d2e38,1738627200000,
8b30f1bd-81f4-4780-905e-cde9fcdad134.binning_data.json,2025-02-05 22:42:25.840,2025-02-05 06:53:21.369,com.sec.android.app.shealth,-2,5361,1.301248,4028.79,198.87,VfS0qUERdZ,com.sec.android.app.shealth,8b30f1bd-81f4-4780-905e-cde9fcdad134,1738713600000,
cbfc741c-2324-48ad-ba34-941e516a9f70.binning_data.json,2025-02-05 23:00:00.943,2025-02-05 23:00:00.943,com.sec.android.app.shealth,0,5361,1.301248,4028.79,198.87,R0X8Tl1DGH,com.sec.android.app.shealth,cbfc741c-2324-48ad-ba34-941e516a9f70,1738713600000,
77fefcc8-e139-4de5-9d0c-4bfb437ddac8.binning_data.json,2025-02-06 20:08:02.824,2025-02-06 07:34:51.158,com.sec.android.app.shealth,-2,4636,1.3317391,3499.82,165.67,VfS0qUERdZ,com.sec.android.app.shealth,77fefcc8-e139-4de5-9d0c-4bfb437ddac8,1738800000000,
17be6cf1-5f16-4529-9b58-76ea970ee2b8.binning_data.json,2025-02-06 23:00:00.827,2025-02-06 23:00:00.827,com.sec.android.app.shealth,0,4636,1.3317391,3499.82,165.67,R0X8Tl1DGH,com.sec.android.app.shealth,17be6cf1-5f16-4529-9b58-76ea970ee2b8,1738800000000,
62a1b782-ae3e-4fe4-97fa-5082cfa43002.binning_data.json,2025-02-07 22:13:58.498,2025-02-06 23:19:42.129,com.sec.android.app.shealth,-2,925,1.2661737,697.81,34.86,VfS0qUERdZ,com.sec.android.app.shealth,62a1b782-ae3e-4fe4-97fa-5082cfa43002,1738886400000,
76efdf2f-1da5-41fb-9fd6-fcb124c1c7e8.binning_data.json,2025-02-07 23:00:01.853,2025-02-07 23:00:01.853,com.sec.android.app.shealth,0,925,1.2661737,697.81,34.86,R0X8Tl1DGH,com.sec.android.app.shealth,76efdf2f-1da5-41fb-9fd6-fcb124c1c7e8,1738886400000,
e13635e6-5113-442d-ada3-86fe67f09a8a.binning_data.json,2025-02-08 20:15:08.085,2025-02-08 06:41:25.195,com.sec.android.app.shealth,-2,13813,1.2899339,10364.82,511.49,VfS0qUERdZ,com.sec.android.app.shealth,e13635e6-5113-442d-ada3-86fe67f09a8a,1738972800000,
99ae66c6-678b-42db-a918-b5be38fe057b.binning_data.json,2025-02-08 23:00:01.198,2025-02-08 23:00:01.198,com.sec.android.app.shealth,0,13813,1.2899339,10364.82,511.49,R0X8Tl1DGH,com.sec.android.app.shealth,99ae66c6-678b-42db-a918-b5be38fe057b,1738972800000,
8316785c-2295-4955-ac00-e668cd22fdaf.binning_data.json,2025-02-09 20:23:00.753,2025-02-09 07:53:18.752,com.sec.android.app.shealth,-2,1371,1.2796993,1028.6901,49.829998,VfS0qUERdZ,com.sec.android.app.shealth,8316785c-2295-4955-ac00-e668cd22fdaf,1739059200000,
cebd3ea9-3874-4963-bdb2-ac32ede2d8a2.binning_data.json,2025-02-09 23:00:01.100,2025-02-09 23:00:01.100,com.sec.android.app.shealth,0,1371,1.2796993,1028.6901,49.829998,R0X8Tl1DGH,com.sec.android.app.shealth,cebd3ea9-3874-4963-bdb2-ac32ede2d8a2,1739059200000,
cbc4a033-082d-4457-b3d0-fae4016061e5.binning_data.json,2025-02-10 22:18:20.073,2025-02-10 02:41:34.906,com.sec.android.app.shealth,-2,1054,1.3469536,801.44,38.47,VfS0qUERdZ,com.sec.android.app.shealth,cbc4a033-082d-4457-b3d0-fae4016061e5,1739145600000,
10df27bc-22bb-4497-a1d9-eff5c363d8e8.binning_data.json,2025-02-10 23:00:00.690,2025-02-10 23:00:00.690,com.sec.android.app.shealth,0,1054,1.3469536,801.44,38.47,R0X8Tl1DGH,com.sec.android.app.shealth,10df27bc-22bb-4497-a1d9-eff5c363d8e8,1739145600000,
6874c604-d7d7-4550-8615-acb1bec2311d.binning_data.json,2025-02-11 18:46:40.317,2025-02-11 05:05:33.523,com.sec.android.app.shealth,-2,5921,1.2851166,4441.96,229.83998,VfS0qUERdZ,com.sec.android.app.shealth,6874c604-d7d7-4550-8615-acb1bec2311d,1739232000000,
cfb04dde-dfb4-4c61-a772-fd97f0530ada.binning_data.json,2025-02-11 23:00:00.533,2025-02-11 23:00:00.533,com.sec.android.app.shealth,0,5921,1.2851166,4441.96,229.83998,R0X8Tl1DGH,com.sec.android.app.shealth,cfb04dde-dfb4-4c61-a772-fd97f0530ada,1739232000000,
58c5912d-2e18-4ddf-a131-4fd0a204ee3f.binning_data.json,2025-02-12 21:20:01.909,2025-02-12 07:52:07.213,com.sec.android.app.shealth,-2,8836,1.30308,6638.48,346.46997,VfS0qUERdZ,com.sec.android.app.shealth,58c5912d-2e18-4ddf-a131-4fd0a204ee3f,1739318400000,
55a85893-022f-40ae-aee1-42b63e3c603f.binning_data.json,2025-02-12 23:00:00.873,2025-02-12 23:00:00.873,com.sec.android.app.shealth,0,8836,1.30308,6638.48,346.46997,R0X8Tl1DGH,com.sec.android.app.shealth,55a85893-022f-40ae-aee1-42b63e3c603f,1739318400000,
7c31b322-44f7-42dd-bfd1-296bcd14014e.binning_data.json,2025-02-13 21:15:34.278,2025-02-13 09:20:04.050,com.sec.android.app.shealth,-2,3959,1.3317418,2989.05,151.86,VfS0qUERdZ,com.sec.android.app.shealth,7c31b322-44f7-42dd-bfd1-296bcd14014e,1739404800000,
0b28474a-2098-4582-a4f1-71fa5596f18f.binning_data.json,2025-02-13 23:00:00.790,2025-02-13 23:00:00.790,com.sec.android.app.shealth,0,3959,1.3317418,2989.05,151.86,R0X8Tl1DGH,com.sec.android.app.shealth,0b28474a-2098-4582-a4f1-71fa5596f18f,1739404800000,
efc3fdd8-1147-415d-9074-03dd0e7b48a3.binning_data.json,2025-02-14 23:00:01.854,2025-02-14 07:27:31.748,com.sec.android.app.shealth,-2,6240,1.362138,4734.4297,229.40997,VfS0qUERdZ,com.sec.android.app.shealth,efc3fdd8-1147-415d-9074-03dd0e7b48a3,1739491200000,
cf0f20c6-2679-4af3-9b1b-5c0b67a8b6aa.binning_data.json,2025-02-14 23:00:01.417,2025-02-14 23:00:01.417,com.sec.android.app.shealth,0,6240,1.362138,4734.4297,229.40997,R0X8Tl1DGH,com.sec.android.app.shealth,cf0f20c6-2679-4af3-9b1b-5c0b67a8b6aa,1739491200000,
cbe8298f-81ac-4ca5-9af4-db949e03310f.binning_data.json,2025-02-15 21:25:17.928,2025-02-15 06:01:11.258,com.sec.android.app.shealth,-2,16363,1.3111383,12306.969,600.5818,VfS0qUERdZ,com.sec.android.app.shealth,cbe8298f-81ac-4ca5-9af4-db949e03310f,1739577600000,
6ec0afdb-cc3e-42aa-b585-2d8d553c4f94.binning_data.json,2025-02-15 23:00:00.663,2025-02-15 23:00:00.663,com.sec.android.app.shealth,0,15885,1.2980869,11936.12,582.61,R0X8Tl1DGH,com.sec.android.app.shealth,6ec0afdb-cc3e-42aa-b585-2d8d553c4f94,1739577600000,
f330ed47-e89a-4763-a6ef-5f044c3c301f.binning_data.json,2025-02-15 23:00:00.917,2025-02-15 23:00:00.917,com.sec.android.app.shealth,25,809,1.6154581,619.259,29.121813,MhLCbMNGdz,com.sec.android.app.shealth,f330ed47-e89a-4763-a6ef-5f044c3c301f,1739577600000,
4642c480-3be2-486c-b9ca-1b1158a14f3d.binning_data.json,2025-02-16 20:27:49.721,2025-02-16 08:30:12.170,com.sec.android.app.shealth,-2,6251,1.5098412,4706.025,231.37349,VfS0qUERdZ,com.sec.android.app.shealth,4642c480-3be2-486c-b9ca-1b1158a14f3d,1739664000000,
e95f25de-b8ed-4939-802c-69f5dd5ce04c.binning_data.json,2025-02-16 23:00:00.759,2025-02-16 23:00:00.759,com.sec.android.app.shealth,0,5009,1.3157681,3768.67,151.1,R0X8Tl1DGH,com.sec.android.app.shealth,e95f25de-b8ed-4939-802c-69f5dd5ce04c,1739664000000,
59cde824-6693-4cae-adf0-a19f79ef862d.binning_data.json,2025-02-16 23:00:01.032,2025-02-16 23:00:01.032,com.sec.android.app.shealth,25,6100,2.3789554,4559.6646,281.42154,MhLCbMNGdz,com.sec.android.app.shealth,59cde824-6693-4cae-adf0-a19f79ef862d,1739664000000,
