step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject
6,4.56,,0.21,2025-01-30 11:20:00,2025-01-30 11:21:00,UTC+0100,1
8,7.25,,0.45999998,2025-01-30 11:25:00,2025-01-30 11:26:00,UTC+0100,1
6,4.38,,0.21,2025-01-30 11:27:00,2025-01-30 11:28:00,UTC+0100,1
12,8.94,,0.4,2025-01-30 11:32:00,2025-01-30 11:33:00,UTC+0100,1
28,22.45,,1.04,2025-01-30 11:33:00,2025-01-30 11:34:00,UTC+0100,1
68,52.03,,2.63,2025-01-30 11:37:00,2025-01-30 11:38:00,UTC+0100,1
121,93.96,,4.83,2025-01-30 11:38:00,2025-01-30 11:39:00,UTC+0100,1
123,96.36,,4.92,2025-01-30 11:39:00,2025-01-30 11:40:00,UTC+0100,1
122,95.16,,4.88,2025-01-30 11:40:00,2025-01-30 11:41:00,UTC+0100,1
125,100.64,,4.96,2025-01-30 11:41:00,2025-01-30 11:42:00,UTC+0100,1
85,66.14,,3.34,2025-01-30 11:42:00,2025-01-30 11:43:00,UTC+0100,1
115,87.15,,4.6,2025-01-30 11:43:00,2025-01-30 11:44:00,UTC+0100,1
120,92.13,,4.8,2025-01-30 11:44:00,2025-01-30 11:45:00,UTC+0100,1
35,26.7,,1.37,2025-01-30 11:45:00,2025-01-30 11:46:00,UTC+0100,1
11,8.13,,0.41,2025-01-30 11:47:00,2025-01-30 11:48:00,UTC+0100,1
26,19.87,,0.95,2025-01-30 11:49:00,2025-01-30 11:50:00,UTC+0100,1
41,32.14,,1.61,2025-01-30 11:50:00,2025-01-30 11:51:00,UTC+0100,1
13,10.460001,,0.44,2025-01-30 12:22:00,2025-01-30 12:23:00,UTC+0100,1
8,6.53,,0.28,2025-01-30 13:27:00,2025-01-30 13:28:00,UTC+0100,1
12,9.39,,0.45,2025-01-30 13:57:00,2025-01-30 13:58:00,UTC+0100,1
7,5.65,,0.25,2025-01-30 14:17:00,2025-01-30 14:18:00,UTC+0100,1
17,13.059999,,0.61,2025-01-30 14:19:00,2025-01-30 14:20:00,UTC+0100,1
6,4.31,,0.22,2025-01-30 14:27:00,2025-01-30 14:28:00,UTC+0100,1
6,4.72,,0.21,2025-01-30 14:30:00,2025-01-30 14:31:00,UTC+0100,1
6,4.88,,0.21,2025-01-30 14:45:00,2025-01-30 14:46:00,UTC+0100,1
8,6.43,,0.29,2025-01-30 14:46:00,2025-01-30 14:47:00,UTC+0100,1
23,18.320002,,0.84000015,2025-01-31 01:16:00,2025-01-31 01:17:00,UTC+0100,1
7,5.34,,0.25,2025-01-31 01:33:00,2025-01-31 01:34:00,UTC+0100,1
1,0.81,,0.04,2025-01-31 01:34:00,2025-01-31 01:35:00,UTC+0100,1
9,7.31,,0.32999998,2025-01-31 01:36:00,2025-01-31 01:37:00,UTC+0100,1
9,8.74,,0.55,2025-01-31 01:37:00,2025-01-31 01:38:00,UTC+0100,1
9,7.5,,0.32999998,2025-01-31 01:38:00,2025-01-31 01:39:00,UTC+0100,1
8,19.340002,,1.2900001,2025-01-31 01:50:00,2025-01-31 01:51:00,UTC+0100,1
6,4.34,,0.22,2025-01-31 06:40:00,2025-01-31 06:41:00,UTC+0100,1
7,5.9700003,,0.25,2025-01-31 06:41:00,2025-01-31 06:42:00,UTC+0100,1
10,7.93,,0.37,2025-01-31 06:49:00,2025-01-31 06:50:00,UTC+0100,1
13,10.26,,0.51,2025-01-31 06:50:00,2025-01-31 06:51:00,UTC+0100,1
8,6.0,,0.29,2025-01-31 08:48:00,2025-01-31 08:49:00,UTC+0100,1
13,9.76,,0.47,2025-01-31 09:36:00,2025-01-31 09:37:00,UTC+0100,1
10,8.15,,0.35999998,2025-01-31 10:20:00,2025-01-31 10:21:00,UTC+0100,1
6,7.59,,0.53,2025-01-31 10:32:00,2025-01-31 10:33:00,UTC+0100,1
10,8.03,,0.36999997,2025-01-31 10:39:00,2025-01-31 10:40:00,UTC+0100,1
6,4.88,,0.21,2025-01-31 10:41:00,2025-01-31 10:42:00,UTC+0100,1
7,5.09,,0.25,2025-01-31 11:32:00,2025-01-31 11:33:00,UTC+0100,1
6,4.81,,0.21,2025-01-31 11:33:00,2025-01-31 11:34:00,UTC+0100,1
7,5.0299997,,0.26,2025-01-31 11:35:00,2025-01-31 11:36:00,UTC+0100,1
36,27.91,,1.38,2025-01-31 11:39:00,2025-01-31 11:40:00,UTC+0100,1
41,31.590002,,1.6199999,2025-01-31 11:40:00,2025-01-31 11:41:00,UTC+0100,1
7,5.41,,0.25,2025-01-31 11:42:00,2025-01-31 11:43:00,UTC+0100,1
20,14.79,,0.7500001,2025-01-31 11:43:00,2025-01-31 11:44:00,UTC+0100,1
6,4.31,,0.22,2025-01-31 11:48:00,2025-01-31 11:49:00,UTC+0100,1
68,57.57,,2.95,2025-01-31 11:54:00,2025-01-31 11:55:00,UTC+0100,1
18,14.48,,0.68,2025-01-31 11:55:00,2025-01-31 11:56:00,UTC+0100,1
7,8.53,,0.6,2025-01-31 12:00:00,2025-01-31 12:01:00,UTC+0100,1
10,7.5,,0.37,2025-01-31 12:03:00,2025-01-31 12:04:00,UTC+0100,1
108,84.24,,4.32,2025-01-31 12:04:00,2025-01-31 12:05:00,UTC+0100,1
109,90.19,,4.8,2025-01-31 12:05:00,2025-01-31 12:06:00,UTC+0100,1
129,100.95,,5.16,2025-01-31 12:06:00,2025-01-31 12:07:00,UTC+0100,1
124,97.14,,4.96,2025-01-31 12:07:00,2025-01-31 12:08:00,UTC+0100,1
90,69.93,,3.6,2025-01-31 12:08:00,2025-01-31 12:09:00,UTC+0100,1
86,65.24999,,3.3599985,2025-01-31 12:09:00,2025-01-31 12:10:00,UTC+0100,1
79,59.19,,3.0699985,2025-01-31 12:10:00,2025-01-31 12:11:00,UTC+0100,1
60,45.749985,,2.369999,2025-01-31 12:11:00,2025-01-31 12:12:00,UTC+0100,1
101,75.9,,4.04,2025-01-31 12:12:00,2025-01-31 12:13:00,UTC+0100,1
8,6.0599995,,0.30999997,2025-01-31 12:13:00,2025-01-31 12:14:00,UTC+0100,1
7,5.5,,0.25,2025-01-31 12:20:00,2025-01-31 12:21:00,UTC+0100,1
10,7.38,,0.37,2025-01-31 12:21:00,2025-01-31 12:22:00,UTC+0100,1
44,32.65,,1.6899999,2025-01-31 15:24:00,2025-01-31 15:25:00,UTC+0100,1
41,30.990002,,1.4999998,2025-01-31 15:25:00,2025-01-31 15:26:00,UTC+0100,1
49,35.95,,1.89,2025-01-31 15:26:00,2025-01-31 15:27:00,UTC+0100,1
94,73.01997,,3.7199974,2025-01-31 15:27:00,2025-01-31 15:28:00,UTC+0100,1
113,86.850006,,4.52,2025-01-31 15:28:00,2025-01-31 15:29:00,UTC+0100,1
111,86.04,,4.44,2025-01-31 15:29:00,2025-01-31 15:30:00,UTC+0100,1
119,91.83,,4.76,2025-01-31 15:30:00,2025-01-31 15:31:00,UTC+0100,1
107,81.75,,4.28,2025-01-31 15:31:00,2025-01-31 15:32:00,UTC+0100,1
107,84.32,,4.37,2025-01-31 15:32:00,2025-01-31 15:33:00,UTC+0100,1
108,84.23993,,4.319998,2025-01-31 15:33:00,2025-01-31 15:34:00,UTC+0100,1
111,84.39001,,4.439997,2025-01-31 15:34:00,2025-01-31 15:35:00,UTC+0100,1
118,90.93,,4.72,2025-01-31 15:35:00,2025-01-31 15:36:00,UTC+0100,1
50,37.68,,1.9799999,2025-01-31 15:36:00,2025-01-31 15:37:00,UTC+0100,1
16,12.0,,0.60999995,2025-01-31 15:38:00,2025-01-31 15:39:00,UTC+0100,1
113,87.75,,4.45,2025-01-31 15:39:00,2025-01-31 15:40:00,UTC+0100,1
111,86.28999,,4.3899994,2025-01-31 15:40:00,2025-01-31 15:41:00,UTC+0100,1
10,7.5,,0.39,2025-01-31 15:41:00,2025-01-31 15:42:00,UTC+0100,1
11,8.44,,0.41,2025-01-31 15:55:00,2025-01-31 15:56:00,UTC+0100,1
16,12.39,,0.64,2025-01-31 15:56:00,2025-01-31 15:57:00,UTC+0100,1
84,65.5,,3.33,2025-01-31 15:57:00,2025-01-31 15:58:00,UTC+0100,1
