,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
75,107.0,81.36,1.3611112,3.21,2025-02-19 12:16:00,2025-02-19 12:17:00,UTC+0100,2,Eindhoven
76,115.0,87.58,1.4596667,3.45,2025-02-19 12:17:00,2025-02-19 12:18:00,UTC+0100,2,Eindhoven
77,115.0,87.43,1.4571667,3.45,2025-02-19 12:18:00,2025-02-19 12:19:00,UTC+0100,2,Eindhoven
78,101.0,77.13,1.395943,3.0299985,2025-02-19 12:19:00,2025-02-19 12:20:00,UTC+0100,2,Eindhoven
79,108.0,81.8125,4.90875,0.0,2025-02-19 12:19:00,2025-02-19 12:20:00,UTC+0100,2,Eindhoven
80,111.0,84.52,1.4086666,3.33,2025-02-19 12:20:00,2025-02-19 12:21:00,UTC+0100,2,Eindhoven
81,111.0,84.11,1.4018334,3.33,2025-02-19 12:21:00,2025-02-19 12:22:00,UTC+0100,2,Eindhoven
82,100.0,76.3,1.3611112,3.0,2025-02-19 12:22:00,2025-02-19 12:23:00,UTC+0100,2,Eindhoven
83,26.0,20.08,1.479955,0.78,2025-02-19 12:23:00,2025-02-19 12:24:00,UTC+0100,2,Eindhoven
84,109.0,82.506836,4.9504104,1.8327637,2025-02-19 12:20:00,2025-02-19 12:21:00,UTC+0100,2,Eindhoven
85,109.0,81.75,4.905,3.8189697,2025-02-19 12:21:00,2025-02-19 12:22:00,UTC+0100,2,Eindhoven
86,101.0,74.490234,4.469414,4.4023438,2025-02-19 12:22:00,2025-02-19 12:23:00,UTC+0100,2,Eindhoven
87,31.0,24.833008,1.4899805,1.0551147,2025-02-19 12:23:00,2025-02-19 12:24:00,UTC+0100,2,Eindhoven
88,41.0,31.266602,1.8759961,1.4451294,2025-02-19 12:24:00,2025-02-19 12:25:00,UTC+0100,2,Eindhoven
89,25.0,18.58,1.2777778,0.77,2025-02-19 12:24:00,2025-02-19 12:25:00,UTC+0100,2,Eindhoven
90,76.0,56.659973,1.2628295,2.3599987,2025-02-19 13:19:00,2025-02-19 13:20:00,UTC+0100,2,Eindhoven
91,20.0,15.405273,0.9243164,0.69781494,2025-02-19 13:18:00,2025-02-19 13:19:00,UTC+0100,2,Eindhoven
92,119.0,92.10001,1.5350003,3.569999,2025-02-19 13:20:00,2025-02-19 13:21:00,UTC+0100,2,Eindhoven
93,123.0,95.09,1.5848333,3.69,2025-02-19 13:21:00,2025-02-19 13:22:00,UTC+0100,2,Eindhoven
94,111.0,86.44998,1.5220597,3.3299994,2025-02-19 13:22:00,2025-02-19 13:23:00,UTC+0100,2,Eindhoven
95,61.0,45.0,2.7,2.1504517,2025-02-19 13:19:00,2025-02-19 13:20:00,UTC+0100,2,Eindhoven
96,115.0,89.04004,5.3424025,4.008911,2025-02-19 13:20:00,2025-02-19 13:21:00,UTC+0100,2,Eindhoven
97,117.0,90.36914,5.422148,4.084717,2025-02-19 13:21:00,2025-02-19 13:22:00,UTC+0100,2,Eindhoven
98,118.0,91.66016,5.4996095,5.19812,2025-02-19 13:22:00,2025-02-19 13:23:00,UTC+0100,2,Eindhoven
99,100.0,77.17,1.4722222,3.02,2025-02-19 13:23:00,2025-02-19 13:24:00,UTC+0100,2,Eindhoven
100,113.0,87.81,1.5065109,3.3899987,2025-02-19 13:24:00,2025-02-19 13:25:00,UTC+0100,2,Eindhoven
101,119.0,92.649994,1.5441666,3.57,2025-02-19 13:25:00,2025-02-19 13:26:00,UTC+0100,2,Eindhoven
102,97.0,74.884766,4.493086,3.3908691,2025-02-19 13:23:00,2025-02-19 13:24:00,UTC+0100,2,Eindhoven
103,121.0,93.37891,5.6027346,4.2144775,2025-02-19 13:24:00,2025-02-19 13:25:00,UTC+0100,2,Eindhoven
104,118.0,91.53516,5.4921093,4.1154175,2025-02-19 13:25:00,2025-02-19 13:26:00,UTC+0100,2,Eindhoven
105,114.0,88.2832,5.2969923,3.9615479,2025-02-19 13:26:00,2025-02-19 13:27:00,UTC+0100,2,Eindhoven
106,83.0,61.759766,3.705586,3.347412,2025-02-19 13:27:00,2025-02-19 13:28:00,UTC+0100,2,Eindhoven
107,107.0,82.44,1.4722222,3.24,2025-02-19 13:26:00,2025-02-19 13:27:00,UTC+0100,2,Eindhoven
108,62.0,46.03,1.25,1.9,2025-02-19 13:27:00,2025-02-19 13:28:00,UTC+0100,2,Eindhoven
109,11.0,7.6640625,0.45984375,0.40911865,2025-02-19 14:02:00,2025-02-19 14:03:00,UTC+0100,2,Eindhoven
110,16.0,11.378906,0.6827344,0.56188965,2025-02-19 14:05:00,2025-02-19 14:06:00,UTC+0100,2,Eindhoven
111,11.0,7.951172,0.4770703,0.37664795,2025-02-19 14:15:00,2025-02-19 14:16:00,UTC+0100,2,Eindhoven
112,27.0,19.892578,1.1935546,1.0651245,2025-02-19 14:16:00,2025-02-19 14:17:00,UTC+0100,2,Eindhoven
113,24.0,17.75,1.081394,0.78,2025-02-19 14:17:00,2025-02-19 14:18:00,UTC+0100,2,Eindhoven
114,21.0,14.933594,0.89601564,0.76934814,2025-02-19 14:17:00,2025-02-19 14:18:00,UTC+0100,2,Eindhoven
115,14.0,10.55,1.3333334,0.44,2025-02-19 14:18:00,2025-02-19 14:19:00,UTC+0100,2,Eindhoven
116,116.0,89.35,1.4891666,3.49,2025-02-19 14:19:00,2025-02-19 14:20:00,UTC+0100,2,Eindhoven
117,88.0,66.24999,1.3025537,2.6399994,2025-02-19 14:20:00,2025-02-19 14:21:00,UTC+0100,2,Eindhoven
118,11.0,8.16,1.1841974,0.35,2025-02-19 14:21:00,2025-02-19 14:22:00,UTC+0100,2,Eindhoven
119,11.0,8.019531,0.48117188,0.3862915,2025-02-19 14:18:00,2025-02-19 14:19:00,UTC+0100,2,Eindhoven
120,122.0,95.427734,5.725664,4.267517,2025-02-19 14:19:00,2025-02-19 14:20:00,UTC+0100,2,Eindhoven
121,100.0,74.88281,4.4929686,4.8605347,2025-02-19 14:20:00,2025-02-19 14:21:00,UTC+0100,2,Eindhoven
122,18.0,13.253906,0.7952344,0.63201904,2025-02-19 14:21:00,2025-02-19 14:22:00,UTC+0100,2,Eindhoven
123,16.0,11.739998,1.1679451,0.5,2025-02-19 14:22:00,2025-02-19 14:23:00,UTC+0100,2,Eindhoven
124,16.0,11.5625,0.69375,0.56536865,2025-02-19 14:22:00,2025-02-19 14:23:00,UTC+0100,2,Eindhoven
125,13.0,10.376953,0.6226172,0.40075684,2025-02-19 14:47:00,2025-02-19 14:48:00,UTC+0100,2,Eindhoven
126,126.0,96.350006,1.6058333,3.8099997,2025-02-19 14:51:00,2025-02-19 14:52:00,UTC+0100,2,Eindhoven
127,20.0,15.425781,0.9255469,0.6749878,2025-02-19 14:50:00,2025-02-19 14:51:00,UTC+0100,2,Eindhoven
128,109.0,82.1543,4.929258,3.8167114,2025-02-19 14:51:00,2025-02-19 14:52:00,UTC+0100,2,Eindhoven
129,111.0,84.58984,5.075391,3.8928223,2025-02-19 14:52:00,2025-02-19 14:53:00,UTC+0100,2,Eindhoven
130,110.0,83.859375,5.0315623,3.8566284,2025-02-19 14:53:00,2025-02-19 14:54:00,UTC+0100,2,Eindhoven
131,117.0,89.52,1.4919999,3.51,2025-02-19 14:52:00,2025-02-19 14:53:00,UTC+0100,2,Eindhoven
132,102.0,78.07,1.3888888,3.06,2025-02-19 14:53:00,2025-02-19 14:54:00,UTC+0100,2,Eindhoven
133,66.0,50.45,1.3888888,1.98,2025-02-19 14:54:00,2025-02-19 14:55:00,UTC+0100,2,Eindhoven
134,69.0,52.34961,3.1409767,2.4268188,2025-02-19 14:54:00,2025-02-19 14:55:00,UTC+0100,2,Eindhoven
135,53.0,40.6875,2.44125,1.8295288,2025-02-19 14:55:00,2025-02-19 14:56:00,UTC+0100,2,Eindhoven
136,43.0,31.441406,1.8864844,1.5761719,2025-02-19 14:56:00,2025-02-19 14:57:00,UTC+0100,2,Eindhoven
137,55.0,40.04,1.1388888,1.79,2025-02-19 14:55:00,2025-02-19 14:56:00,UTC+0100,2,Eindhoven
138,29.0,21.25,1.0833333,0.94,2025-02-19 14:56:00,2025-02-19 14:57:00,UTC+0100,2,Eindhoven
139,11.0,7.9472656,0.47683594,0.37530518,2025-02-19 14:57:00,2025-02-19 14:58:00,UTC+0100,2,Eindhoven
140,67.0,52.339844,3.1403906,2.3635864,2025-02-19 14:58:00,2025-02-19 14:59:00,UTC+0100,2,Eindhoven
141,50.0,37.17,1.2777778,1.59,2025-02-19 14:58:00,2025-02-19 14:59:00,UTC+0100,2,Eindhoven
142,29.0,21.68,1.3055556,0.91,2025-02-19 14:59:00,2025-02-19 15:00:00,UTC+0100,2,Eindhoven
143,16.0,12.16,1.3853287,0.43,2025-02-19 15:00:00,2025-02-19 15:01:00,UTC+0100,2,Eindhoven
144,58.0,44.220703,2.653242,1.99646,2025-02-19 14:59:00,2025-02-19 15:00:00,UTC+0100,2,Eindhoven
145,4.0,2.9433594,0.17660156,0.13977051,2025-02-19 15:00:00,2025-02-19 15:01:00,UTC+0100,2,Eindhoven
146,12.0,8.230469,0.49382812,0.42242432,2025-02-19 15:01:00,2025-02-19 15:02:00,UTC+0100,2,Eindhoven
147,14.0,10.503906,0.63023436,0.47369385,2025-02-19 15:29:00,2025-02-19 15:30:00,UTC+0100,2,Eindhoven
148,48.0,37.523438,2.2514062,1.6470947,2025-02-19 15:46:00,2025-02-19 15:47:00,UTC+0100,2,Eindhoven
149,19.0,15.699219,0.9419531,0.77404785,2025-02-19 15:47:00,2025-02-19 15:48:00,UTC+0100,2,Eindhoven
