,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
4614,14.0,11.37,1.5,0.47,2025:02:22 11:27:00,2025:02:22 11:28:00,UTC+0100,2,Eindhoven
4615,21.0,15.29,1.1666666,0.79,2025:02:22 11:28:00,2025:02:22 11:29:00,UTC+0100,2,Eindhoven
4611,38.0,31.855469,1.9113281,1.611084,2025:02:22 11:29:00,2025:02:22 11:30:00,UTC+0100,2,Eindhoven
4616,48.0,35.93,1.3055556,1.85,2025:02:22 11:29:00,2025:02:22 11:30:00,UTC+0100,2,Eindhoven
4617,65.0,49.04,1.3333334,2.54,2025:02:22 11:30:00,2025:02:22 11:31:00,UTC+0100,2,Eindhoven
4619,55.0,40.91797,2.4550781,1.9144287,2025:02:22 11:30:00,2025:02:22 11:31:00,UTC+0100,2,Eindhoven
4618,20.0,15.06,1.3055556,0.8,2025:02:22 11:31:00,2025:02:22 11:32:00,UTC+0100,2,Eindhoven
4620,45.0,34.078125,2.0446875,1.581665,2025:02:22 11:31:00,2025:02:22 11:32:00,UTC+0100,2,Eindhoven
4621,29.0,22.667969,1.3600781,0.9864502,2025:02:22 11:32:00,2025:02:22 11:33:00,UTC+0100,2,Eindhoven
4623,9.0,6.58,1.2222222,0.33,2025:02:22 11:32:00,2025:02:22 11:33:00,UTC+0100,2,Eindhoven
4622,27.0,20.8125,1.24875,0.9382324,2025:02:22 11:33:00,2025:02:22 11:34:00,UTC+0100,2,Eindhoven
4624,54.0,40.26,1.2777778,2.07,2025:02:22 11:33:00,2025:02:22 11:34:00,UTC+0100,2,Eindhoven
4625,20.0,14.79,1.2777778,0.73,2025:02:22 11:34:00,2025:02:22 11:35:00,UTC+0100,2,Eindhoven
4626,22.0,15.933594,0.95601565,0.8199463,2025:02:22 11:34:00,2025:02:22 11:35:00,UTC+0100,2,Eindhoven
4627,27.0,18.867188,1.1320312,0.9473877,2025:02:22 11:35:00,2025:02:22 11:36:00,UTC+0100,2,Eindhoven
4640,100.0,75.09,1.2777778,3.95,2025:02:22 11:35:00,2025:02:22 11:36:00,UTC+0100,2,Eindhoven
4628,26.0,20.300781,1.2180469,0.8911133,2025:02:22 11:36:00,2025:02:22 11:37:00,UTC+0100,2,Eindhoven
4641,52.0,40.88,1.4722222,1.96,2025:02:22 11:36:00,2025:02:22 11:37:00,UTC+0100,2,Eindhoven
4629,24.0,17.890625,1.0734375,0.805542,2025:02:22 11:37:00,2025:02:22 11:38:00,UTC+0100,2,Eindhoven
4642,71.0,53.29,1.3055556,2.65,2025:02:22 11:37:00,2025:02:22 11:38:00,UTC+0100,2,Eindhoven
4630,14.0,10.378906,0.62273437,0.48791504,2025:02:22 11:38:00,2025:02:22 11:39:00,UTC+0100,2,Eindhoven
